CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 1 0 3.2000 0.04378654 2.7627 0.0000 
2022 9 2 0 3.2000 0.04603568 3.1740 0.0000 
2022 9 3 0 3.2000 0.04608000 3.1995 0.0000 
2022 9 4 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 9 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 10 0 3.6000 0.05152592 3.5370 0.0000 
2022 9 11 0 3.6000 0.05183407 3.5964 0.0000 
2022 9 12 0 3.6000 0.05184000 3.5999 0.0000 
2022 9 13 0 3.6000 0.05184000 3.6000 0.0000 
2022 9 14 0 3.6000 0.05184000 3.6000 0.0000 
2022 9 15 0 3.6000 0.05184000 3.6000 0.0000 
2022 9 16 0 0.0000 0.00282667 0.5673 0.0000 
2022 9 17 0 0.0000 0.00005333 0.0321 0.0000 
2022 9 18 0 0.0000 0.00000000 0.0006 0.0000 
2022 9 19 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 20 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 21 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 22 0 3.2000 0.04356741 2.6957 0.0000 
2022 9 23 0 3.2000 0.04603259 3.1715 0.0000 
2022 9 24 0 3.2000 0.04608000 3.1995 0.0000 
2022 9 25 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 26 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 27 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 28 0 4.9772 0.07027690 4.6972 0.0000 
2022 9 29 0 7.2293 0.10230742 6.8586 0.0000 
2022 9 30 0 8.3267 0.11900956 8.1334 0.0000 
